,month,airline_id,carrier,total_gallons,total_cost,year
0,1,21352.0,0WQ,210112.0,536455,2016
1,1,20408.0,5V,284362.0,569497,2016
2,1,19917.0,5X,60969000.0,65339000,2016
3,1,20007.0,5Y,24809190.0,44370847,2016
4,1,19874.0,8C,749252.0,1897501,2016
5,1,20190.0,9S,6098523.0,12806900,2016
6,1,19805.0,AA,282748633.0,317344085,2016
7,1,20453.0,ABX,193054.0,461092,2016
8,1,19930.0,AS,37667477.0,47152571,2016
9,1,20409.0,B6,60623708.0,70537499,2016
10,1,19790.0,DL,260151248.0,354719002,2016
11,1,21650.0,EE,375040.0,495052,2016
12,1,20366.0,EV,81827.0,159104,2016
13,1,20436.0,F9,16155531.0,16445664,2016
14,1,20107.0,FX,88713921.0,96498000,2016
15,1,20368.0,G4,12264170.0,15650180,2016
16,1,20166.0,GFQ,131560.0,211459,2016
17,1,20402.0,GL,685968.0,1248259,2016
18,1,19690.0,HA,19966717.0,23242004,2016
19,1,20310.0,K8,89102.0,227505,2016
20,1,20370.0,KAQ,3460627.0,5481337,2016
21,1,21634.0,KH,413456.0,434504,2016
22,1,20372.0,KLQ,137646.0,238552,2016
23,1,20169.0,L2,252782.0,390317,2016
24,1,20151.0,M6,1791448.0,2191130,2016
25,1,20405.0,N8,775909.0,1497512,2016
26,1,20108.0,NC,446891.0,612335,2016
27,1,20416.0,NK,23516807.0,29253557,2016
28,1,20304.0,OO,5444514.0,8161174,2016
29,1,20177.0,PFQ,273735.0,512160,2016
30,1,20100.0,PO,14816197.0,18226279,2016
31,1,20448.0,S5,3793819.0,3841009,2016
32,1,20422.0,SY,5180480.0,6822690,2016
33,1,20447.0,U7,231214.0,277945,2016
34,1,19977.0,UA,240229795.0,277726020,2016
35,1,21171.0,VX,14194685.0,16279748,2016
36,1,20308.0,WE,449711.0,537169,2016
37,1,20287.0,WP,97142.0,116920,2016
38,1,20377.0,X9,2761585.0,7918432,2016
39,1,20207.0,XP,759821.0,1291407,2016
40,1,20452.0,YX,12732476.0,14986287,2016
41,1,20046.0,ZW,6016332.0,7953100,2016
42,1,19393.0,WN,154506208.0,277711435,2016
43,2,21161.0,09Q,328697.0,673205,2016
44,2,21352.0,0WQ,181507.0,466156,2016
45,2,20408.0,5V,287095.0,619519,2016
46,2,19917.0,5X,54502000.0,55087000,2016
47,2,20007.0,5Y,25226278.0,44439422,2016
48,2,19874.0,8C,677052.0,1845258,2016
49,2,20190.0,9S,4928643.0,10350150,2016
50,2,19805.0,AA,266861016.0,281410386,2016
51,2,20453.0,ABX,252917.0,554065,2016
52,2,19930.0,AS,35531494.0,42171313,2016
53,2,20409.0,B6,58151853.0,66340295,2016
54,2,19790.0,DL,244665334.0,328807596,2016
55,2,21650.0,EE,391360.0,540077,2016
56,2,20366.0,EV,76666.0,178088,2016
57,2,20436.0,F9,15240623.0,14937147,2016
58,2,20107.0,FX,84288159.0,87984000,2016
59,2,20368.0,G4,12815963.0,16053275,2016
60,2,20166.0,GFQ,130011.0,221208,2016
61,2,20402.0,GL,666446.0,1161614,2016
62,2,19690.0,HA,18180766.0,20030171,2016
63,2,20310.0,K8,36971.0,93306,2016
64,2,20370.0,KAQ,2811192.0,4243298,2016
65,2,21629.0,KD,18351.0,18351,2016
66,2,21634.0,KH,412808.0,427991,2016
67,2,20372.0,KLQ,94537.0,174762,2016
68,2,20169.0,L2,199100.0,295949,2016
69,2,20151.0,M6,1787901.0,2193379,2016
70,2,20405.0,N8,1006336.0,1931580,2016
71,2,20108.0,NC,377896.0,488580,2016
72,2,20416.0,NK,21981422.0,25893176,2016
73,2,20304.0,OO,5287524.0,7860757,2016
74,2,20177.0,PFQ,245619.0,412422,2016
75,2,20100.0,PO,11798892.0,12397956,2016
76,2,20448.0,S5,3082947.0,3177980,2016
77,2,20422.0,SY,5214769.0,6983134,2016
78,2,20447.0,U7,321944.0,389887,2016
79,2,19977.0,UA,228642695.0,242219657,2016
80,2,21171.0,VX,13417145.0,13790295,2016
81,2,20308.0,WE,119072.0,137952,2016
82,2,20287.0,WP,92320.0,87273,2016
83,2,20377.0,X9,3021324.0,7484138,2016
84,2,20207.0,XP,672345.0,1103899,2016
85,2,20452.0,YX,11730250.0,11499270,2016
86,2,20046.0,ZW,5867191.0,6239743,2016
87,2,19393.0,WN,145687543.0,253104358,2016
88,3,21161.0,09Q,551159.0,1276282,2016
89,3,21352.0,0WQ,12505.0,32637,2016
90,3,20408.0,5V,368114.0,815240,2016
91,3,19917.0,5X,65027000.0,71556000,2016
92,3,20007.0,5Y,28789377.0,50943407,2016
93,3,19874.0,8C,676465.0,1803446,2016
94,3,20190.0,9S,6502939.0,13656172,2016
95,3,19805.0,AA,305541690.0,340587052,2016
96,3,20453.0,ABX,312309.0,590264,2016
97,3,19930.0,AS,39596833.0,50345955,2016
98,3,20409.0,B6,64395121.0,77936475,2016
99,3,19790.0,DL,280976475.0,388472770,2016
100,3,21650.0,EE,473920.0,706141,2016
101,3,20366.0,EV,82715.0,194962,2016
102,3,20436.0,F9,16416821.0,17655232,2016
103,3,20107.0,FX,98487077.0,111339000,2016
104,3,20368.0,G4,16442818.0,22071234,2016
105,3,20166.0,GFQ,227116.0,368671,2016
106,3,20402.0,GL,715715.0,1339105,2016
107,3,19690.0,HA,19708114.0,23026945,2016
108,3,20310.0,K8,72598.0,204737,2016
109,3,20370.0,KAQ,2446627.0,4143115,2016
110,3,21629.0,KD,40542.0,40542,2016
111,3,21634.0,KH,458733.0,543848,2016
112,3,20372.0,KLQ,252913.0,457919,2016
113,3,20169.0,L2,248283.0,382815,2016
114,3,20151.0,M6,1806465.0,2352384,2016
115,3,20405.0,N8,777659.0,1360404,2016
116,3,20108.0,NC,412385.0,566931,2016
117,3,20416.0,NK,20051000.0,30833796,2016
118,3,20304.0,OO,6067876.0,8768054,2016
119,3,20177.0,PFQ,273261.0,439064,2016
120,3,20100.0,PO,15723111.0,18059145,2016
121,3,20448.0,S5,4370846.0,4851196,2016
122,3,20422.0,SY,5946748.0,8363521,2016
123,3,20447.0,U7,563741.0,715495,2016
124,3,19977.0,UA,265337819.0,297964996,2016
125,3,21171.0,VX,15460169.0,17647757,2016
126,3,20287.0,WP,121341.0,132902,2016
127,3,20377.0,X9,2295678.0,5828855,2016
128,3,20207.0,XP,850482.0,1553618,2016
129,3,20452.0,YX,13995700.0,15033057,2016
130,3,20046.0,ZW,6588736.0,7498977,2016
131,3,19393.0,WN,172667623.0,283892879,2016
132,4,21161.0,09Q,379161.0,659432,2016
133,4,21352.0,0WQ,20098.0,52519,2016
134,4,20408.0,5V,343885.0,713613,2016
135,4,19917.0,5X,60333000.0,71180000,2016
136,4,20007.0,5Y,30876150.0,52278968,2016
137,4,19874.0,8C,658109.0,1506140,2016
138,4,20190.0,9S,6094992.0,12799483,2016
139,4,19805.0,AA,292255226.0,350930021,2016
140,4,20453.0,ABX,161669.0,320880,2016
141,4,19930.0,AS,38598758.0,51784926,2016
142,4,20409.0,B6,62428968.0,79388437,2016
143,4,19790.0,DL,279599419.0,429540020,2016
144,4,21650.0,EE,318400.0,493520,2016
145,4,20366.0,EV,77831.0,220371,2016
146,4,20436.0,F9,16071313.0,18771877,2016
147,4,20107.0,FX,92095004.0,109719000,2016
148,4,20368.0,G4,13408496.0,18602361,2016
149,4,20166.0,GFQ,193760.0,346865,2016
150,4,20402.0,GL,570483.0,1040447,2016
151,4,19690.0,HA,18932506.0,23223634,2016
152,4,20310.0,K8,42477.0,83136,2016
153,4,20370.0,KAQ,3651174.0,5678439,2016
154,4,21629.0,KD,7812.0,7812,2016
155,4,21634.0,KH,417640.0,518317,2016
156,4,20372.0,KLQ,156202.0,306969,2016
157,4,20169.0,L2,195894.0,310424,2016
158,4,20151.0,M6,1858471.0,2499195,2016
159,4,20405.0,N8,1389500.0,2582856,2016
160,4,20108.0,NC,463105.0,675295,2016
161,4,20416.0,NK,24715453.0,32468178,2016
162,4,20304.0,OO,6079389.0,9365067,2016
163,4,20177.0,PFQ,283134.0,504738,2016
164,4,20100.0,PO,14717190.0,18574019,2016
165,4,20448.0,S5,2625542.0,3036717,2016
166,4,20422.0,SY,4830126.0,6928390,2016
167,4,20447.0,U7,481875.0,636529,2016
168,4,19977.0,UA,257893397.0,308674504,2016
169,4,21171.0,VX,15640812.0,18384609,2016
170,4,20287.0,WP,126195.0,160992,2016
171,4,20377.0,X9,2878007.0,5999885,2016
172,4,20207.0,XP,577352.0,1066424,2016
173,4,20452.0,YX,12792878.0,14688177,2016
174,4,20046.0,ZW,6281133.0,7769570,2016
175,4,19393.0,WN,166117580.0,262687589,2016
176,5,21161.0,09Q,318452.0,394296,2016
177,5,21352.0,0WQ,23873.0,67800,2016
178,5,21492.0,1BQ,34091.0,543913,2016
179,5,20408.0,5V,338719.0,794232,2016
180,5,19917.0,5X,61474000.0,79522000,2016
181,5,20007.0,5Y,29633766.0,51980923,2016
182,5,19874.0,8C,799411.0,1451021,2016
183,5,20190.0,9S,6307554.0,13245863,2016
184,5,19805.0,AA,313190128.0,407824957,2016
185,5,20453.0,ABX,74254.0,140340,2016
186,5,19930.0,AS,39132120.0,57737641,2016
187,5,20409.0,B6,63549584.0,91789656,2016
188,5,19790.0,DL,299428448.0,452129965,2016
189,5,21650.0,EE,308960.0,525232,2016
190,5,20366.0,EV,85605.0,198677,2016
191,5,20436.0,F9,17174618.0,22422890,2016
192,5,20107.0,FX,89515467.0,118473000,2016
193,5,20368.0,G4,13615505.0,21056684,2016
194,5,20166.0,GFQ,218880.0,413304,2016
195,5,20402.0,GL,538444.0,1019436,2016
196,5,19690.0,HA,19669417.0,26366779,2016
197,5,20310.0,K8,59314.0,153656,2016
198,5,20370.0,KAQ,2070043.0,3414633,2016
199,5,21629.0,KD,14921.0,14921,2016
200,5,21634.0,KH,420758.0,575838,2016
201,5,20372.0,KLQ,235564.0,490933,2016
202,5,20169.0,L2,240210.0,435203,2016
203,5,20151.0,M6,1759865.0,2658880,2016
204,5,20405.0,N8,666666.0,1187346,2016
205,5,20108.0,NC,466942.0,740895,2016
206,5,20416.0,NK,26414317.0,39436237,2016
207,5,20304.0,OO,6375164.0,10830449,2016
208,5,20177.0,PFQ,297367.0,576633,2016
209,5,20100.0,PO,15578133.0,21066984,2016
210,5,20448.0,S5,2922167.0,3854389,2016
211,5,20422.0,SY,3821647.0,6158128,2016
212,5,20447.0,U7,459556.0,674901,2016
213,5,19977.0,UA,281394904.0,370830564,2016
214,5,21171.0,VX,16414177.0,21737449,2016
215,5,20308.0,WE,329399.0,503652,2016
216,5,20287.0,WP,128211.0,177108,2016
217,5,20377.0,X9,2129372.0,2884278,2016
218,5,20207.0,XP,556146.0,1073362,2016
219,5,20452.0,YX,11820783.0,14889666,2016
220,5,20046.0,ZW,6510272.0,8792834,2016
221,5,19393.0,WN,170290207.0,285523831,2016
222,6,21352.0,0WQ,26382.0,82048,2016
223,6,20408.0,5V,398853.0,995143,2016
224,6,19917.0,5X,64673000.0,91738000,2016
225,6,20007.0,5Y,30154889.0,54178071,2016
226,6,19874.0,8C,727092.0,1391446,2016
227,6,20190.0,9S,6199687.0,13019344,2016
228,6,19805.0,AA,325213057.0,460306736,2016
229,6,20453.0,ABX,41106.0,68116,2016
230,6,19930.0,AS,40343833.0,65645569,2016
231,6,20409.0,B6,65324308.0,102954211,2016
232,6,19790.0,DL,313711612.0,963444631,2016
233,6,21650.0,EE,483920.0,822664,2016
234,6,20366.0,EV,80305.0,204875,2016
235,6,20436.0,F9,18090996.0,25542928,2016
236,6,20107.0,FX,92488481.0,133629000,2016
237,6,20368.0,G4,17128733.0,28784055,2016
238,6,20166.0,GFQ,444215.0,891504,2016
239,6,20402.0,GL,624061.0,1379421,2016
240,6,19690.0,HA,21096167.0,30956710,2016
241,6,20310.0,K8,50209.0,98615,2016
242,6,20370.0,KAQ,2475442.0,4099440,2016
243,6,21629.0,KD,282032.0,282032,2016
244,6,21634.0,KH,414878.0,615846,2016
245,6,20372.0,KLQ,127070.0,278086,2016
246,6,20169.0,L2,197857.0,393160,2016
247,6,20151.0,M6,1874919.0,3102827,2016
248,6,20405.0,N8,457022.0,796043,2016
249,6,20108.0,NC,558685.0,1040758,2016
250,6,20416.0,NK,25883552.0,41287248,2016
251,6,20304.0,OO,6376531.0,11480104,2016
252,6,20177.0,PFQ,280183.0,505845,2016
253,6,20100.0,PO,14808215.0,21708375,2016
254,6,20448.0,S5,2974618.0,4340750,2016
255,6,20422.0,SY,4700085.0,8225706,2016
256,6,20447.0,U7,572775.0,930816,2016
257,6,19977.0,UA,294023498.0,423352591,2016
258,6,21171.0,VX,17077810.0,24892865,2016
259,6,20308.0,WE,498352.0,856030,2016
260,6,20287.0,WP,166912.0,259340,2016
261,6,20377.0,X9,2604815.0,4800584,2016
262,6,20207.0,XP,739590.0,1531771,2016
263,6,20452.0,YX,11611850.0,15883727,2016
264,6,20046.0,ZW,6353609.0,9333727,2016
265,6,19393.0,WN,177255565.0,310700426,2016
266,7,21161.0,09Q,328601.0,904599,2016
267,7,21352.0,0WQ,29149.0,85990,2016
268,7,21645.0,23Q,118140.0,235039,2016
269,7,20408.0,5V,452311.0,936113,2016
270,7,19917.0,5X,63265000.0,87923000,2016
271,7,20007.0,5Y,30859217.0,57599897,2016
272,7,19874.0,8C,594718.0,1127536,2016
273,7,20190.0,9S,6415568.0,13472693,2016
274,7,19805.0,AA,338537054.0,477298830,2016
275,7,20453.0,ABX,168462.0,353770,2016
276,7,19930.0,AS,41708931.0,66198034,2016
277,7,20409.0,B6,69519324.0,105712879,2016
278,7,19790.0,DL,333299312.0,493229453,2016
279,7,21650.0,EE,612320.0,1040944,2016
280,7,20366.0,EV,80896.0,230891,2016
281,7,20436.0,F9,20527999.0,28858501,2016
282,7,20107.0,FX,90794613.0,128342000,2016
283,7,20368.0,G4,18352864.0,29820427,2016
284,7,20166.0,GFQ,280938.0,559320,2016
285,7,20402.0,GL,335264.0,483018,2016
286,7,19690.0,HA,22418860.0,32228181,2016
287,7,20310.0,K8,189716.0,450465,2016
288,7,20370.0,KAQ,2721438.0,4576516,2016
289,7,21629.0,KD,168903.0,168903,2016
290,7,21634.0,KH,420630.0,602912,2016
291,7,20372.0,KLQ,170132.0,368724,2016
292,7,20169.0,L2,255601.0,505456,2016
293,7,20151.0,M6,1892766.0,3013910,2016
294,7,20405.0,N8,686281.0,1290073,2016
295,7,20108.0,NC,502881.0,807428,2016
296,7,20416.0,NK,26510281.0,42442868,2016
297,7,20304.0,OO,6489965.0,11647680,2016
298,7,20177.0,PFQ,318966.0,592222,2016
299,7,20100.0,PO,14443695.0,22203604,2016
300,7,20448.0,S5,4897404.0,6728261,2016
301,7,20422.0,SY,5221057.0,8642771,2016
302,7,20447.0,U7,307031.0,492255,2016
303,7,19977.0,UA,309948402.0,445707176,2016
304,7,21171.0,VX,17894585.0,24910500,2016
305,7,20308.0,WE,426941.0,693189,2016
306,7,20287.0,WP,176438.0,269709,2016
307,7,20377.0,X9,2872106.0,5393998,2016
308,7,20207.0,XP,780957.0,1623947,2016
309,7,20452.0,YX,11951675.0,16611835,2016
310,7,20046.0,ZW,6345731.0,10035625,2016
311,7,19393.0,WN,181536858.0,319188062,2016
312,8,21161.0,09Q,228567.0,462883,2016
313,8,21352.0,0WQ,34677.0,104722,2016
314,8,21645.0,23Q,122224.0,271906,2016
315,8,20408.0,5V,441778.0,977129,2016
316,8,19917.0,5X,66765000.0,86747000,2016
317,8,20007.0,5Y,31669793.0,54809125,2016
318,8,19874.0,8C,661079.0,1292835,2016
319,8,20190.0,9S,5931051.0,12455210,2016
320,8,19805.0,AA,326327141.0,437594283,2016
321,8,20453.0,ABX,112827.0,353770,2016
322,8,19930.0,AS,42038582.0,62376704,2016
323,8,20409.0,B6,69445570.0,98482169,2016
324,8,19790.0,DL,325186619.0,501635299,2016
325,8,21650.0,EE,554000.0,936260,2016
326,8,20366.0,EV,82119.0,210836,2016
327,8,20436.0,F9,20001579.0,25322242,2016
328,8,20107.0,FX,93368352.0,124780000,2016
329,8,20368.0,G4,14225856.0,21647166,2016
330,8,20166.0,GFQ,419475.0,828969,2016
331,8,20402.0,GL,340747.0,773578,2016
332,8,19690.0,HA,22361065.0,30020870,2016
333,8,20310.0,K8,143895.0,303601,2016
334,8,20370.0,KAQ,3630319.0,5907068,2016
335,8,21629.0,KD,34354.0,34354,2016
336,8,21634.0,KH,453731.0,606746,2016
337,8,20372.0,KLQ,239099.0,473662,2016
338,8,20169.0,L2,251512.0,478167,2016
339,8,20151.0,M6,1876138.0,2858916,2016
340,8,20405.0,N8,712312.0,1222404,2016
341,8,20108.0,NC,596056.0,928695,2016
342,8,20416.0,NK,27159053.0,40967959,2016
343,8,20304.0,OO,6548860.0,11535275,2016
344,8,20177.0,PFQ,333553.0,576221,2016
345,8,20100.0,PO,14968101.0,21391844,2016
346,8,20448.0,S5,4935993.0,6564449,2016
347,8,20422.0,SY,4639744.0,7273718,2016
348,8,20447.0,U7,573486.0,863326,2016
349,8,19977.0,UA,304556396.0,413360687,2016
350,8,21171.0,VX,17859802.0,23075440,2016
351,8,20308.0,WE,585272.0,868206,2016
352,8,20287.0,WP,174085.0,237468,2016
353,8,20377.0,X9,2930967.0,5495955,2016
354,8,20207.0,XP,407018.0,811683,2016
355,8,20452.0,YX,12008810.0,15891945,2016
356,8,20046.0,ZW,6353980.0,9669585,2016
357,8,19393.0,WN,171922013.0,295793183,2016
358,9,21161.0,09Q,295122.0,647138,2016
359,9,21352.0,0WQ,28479.0,82875,2016
360,9,21645.0,23Q,124264.0,289522,2016
361,9,20408.0,5V,387562.0,883881,2016
362,9,19917.0,5X,65210000.0,88749000,2016
363,9,20007.0,5Y,33641772.0,57294777,2016
364,9,19874.0,8C,632389.0,1203127,2016
365,9,20190.0,9S,6450652.0,13546369,2016
366,9,19805.0,AA,288059629.0,399447717,2016
367,9,20453.0,ABX,186590.0,353377,2016
368,9,19930.0,AS,35681303.0,55382260,2016
369,9,20409.0,B6,59288359.0,88900518,2016
370,9,19790.0,DL,283634295.0,404304319,2016
371,9,21650.0,EE,395680.0,712224,2016
372,9,20366.0,EV,90640.0,242775,2016
373,9,20436.0,F9,19196296.0,26119921,2016
374,9,20107.0,FX,90585315.0,125509000,2016
375,9,20368.0,G4,11608073.0,18949260,2016
376,9,20166.0,GFQ,362486.0,699322,2016
377,9,20402.0,GL,454825.0,1019826,2016
378,9,19690.0,HA,20137607.0,28132584,2016
379,9,20310.0,K8,113344.0,237277,2016
380,9,20370.0,KAQ,3641277.0,5912272,2016
381,9,21629.0,KD,127867.0,127867,2016
382,9,21634.0,KH,434148.0,612176,2016
383,9,20372.0,KLQ,327271.0,686531,2016
384,9,20169.0,L2,161921.0,326107,2016
385,9,20151.0,M6,1718127.0,2740695,2016
386,9,20405.0,N8,1060622.0,1988548,2016
387,9,20108.0,NC,491123.0,804685,2016
388,9,20416.0,NK,24618614.0,38433033,2016
389,9,20304.0,OO,5643514.0,8966030,2016
390,9,20177.0,PFQ,337327.0,622885,2016
391,9,20100.0,PO,14109735.0,20012231,2016
392,9,20448.0,S5,4093952.0,5666797,2016
393,9,20422.0,SY,3618938.0,5978537,2016
394,9,20447.0,U7,679807.0,1059311,2016
395,9,19977.0,UA,274673984.0,383255846,2016
396,9,21171.0,VX,16138177.0,22145396,2016
397,9,20308.0,WE,525640.0,849657,2016
398,9,20287.0,WP,161426.0,225221,2016
399,9,20377.0,X9,2166954.0,3956387,2016
400,9,20207.0,XP,405758.0,819956,2016
401,9,20452.0,YX,10210565.0,13956065,2016
402,9,20046.0,ZW,10633.0,31571,2016
403,9,19393.0,WN,159763907.0,283361784,2016
404,10,21161.0,09Q,321959.0,886223,2016
405,10,21352.0,0WQ,18771.0,56503,2016
406,10,21492.0,1BQ,695195.0,1059000,2016
407,10,21645.0,23Q,100942.0,200824,2016
408,10,20408.0,5V,428555.0,999862,2016
409,10,19917.0,5X,65187000.0,93465000,2016
410,10,20007.0,5Y,37021014.0,63650408,2016
411,10,19874.0,8C,631504.0,1206743,2016
412,10,20190.0,9S,6196275.0,13012177,2016
413,10,19805.0,AA,293028703.0,422850406,2016
414,10,20453.0,ABX,100804.0,166327,2016
415,10,19930.0,AS,36464139.0,60371031,2016
416,10,20409.0,B6,60156712.0,92460910,2016
417,10,19790.0,DL,278656882.0,476736882,2016
418,10,21650.0,EE,493200.0,818712,2016
419,10,20366.0,EV,83641.0,234987,2016
420,10,20436.0,F9,19272192.0,27707398,2016
421,10,20107.0,FX,91921777.0,135606000,2016
422,10,20368.0,G4,13580127.0,23346221,2016
423,10,20166.0,GFQ,529566.0,1040401,2016
424,10,20402.0,GL,568857.0,1382304,2016
425,10,19690.0,HA,20442501.0,30094184,2016
426,10,20310.0,K8,147238.0,397995,2016
427,10,20370.0,KAQ,4225535.0,7553114,2016
428,10,21629.0,KD,1874135.0,1874135,2016
429,10,21634.0,KH,442368.0,668825,2016
430,10,20372.0,KLQ,359698.0,784218,2016
431,10,20169.0,L2,160496.0,328161,2016
432,10,20151.0,M6,1806079.0,3035870,2016
433,10,20405.0,N8,1593467.0,3309237,2016
434,10,20108.0,NC,578939.0,1046850,2016
435,10,20416.0,NK,24717921.0,41066618,2016
436,10,20304.0,OO,5715200.0,10322219,2016
437,10,20177.0,PFQ,337627.0,610043,2016
438,10,20100.0,PO,15325951.0,22059689,2016
439,10,20448.0,S5,3757754.0,5528358,2016
440,10,20422.0,SY,4347402.0,7623655,2016
441,10,20447.0,U7,641942.0,1052762,2016
442,10,19977.0,UA,278907982.0,409684092,2016
443,10,21171.0,VX,16286913.0,24113185,2016
444,10,20308.0,WE,457498.0,760982,2016
445,10,20287.0,WP,162251.0,241206,2016
446,10,20377.0,X9,3274672.0,6392130,2016
447,10,20207.0,XP,499363.0,993481,2016
448,10,20452.0,YX,10410132.0,14775468,2016
449,10,20046.0,ZW,14322.0,42800,2016
450,10,19393.0,WN,164479409.0,300044113,2016
451,11,21161.0,09Q,384931.0,914799,2016
452,11,21352.0,0WQ,19893.0,57489,2016
453,11,21492.0,1BQ,572811.0,1115513,2016
454,11,21645.0,23Q,177476.0,385047,2016
455,11,20408.0,5V,353638.0,813824,2016
456,11,19917.0,5X,72390000.0,103336000,2016
457,11,20007.0,5Y,34001297.0,54875222,2016
458,11,19874.0,8C,606992.0,1151609,2016
459,11,20190.0,9S,6279836.0,13187657,2016
460,11,19805.0,AA,268977142.0,391678109,2016
461,11,20453.0,ABX,45896.0,82145,2016
462,11,19930.0,AS,37567435.0,61002508,2016
463,11,20409.0,B6,60220076.0,92797157,2016
464,11,19790.0,DL,246598174.0,385905388,2016
465,11,21650.0,EE,501120.0,1072396,2016
466,11,20366.0,EV,85810.0,218525,2016
467,11,20436.0,F9,18590427.0,26067387,2016
468,11,20107.0,FX,94692621.0,137463,2016
469,11,20368.0,G4,13489524.0,22205282,2016
470,11,20166.0,GFQ,275784.0,549059,2016
471,11,20402.0,GL,684378.0,1459728,2016
472,11,19690.0,HA,19556847.0,28567162,2016
473,11,20310.0,K8,183686.0,361527,2016
474,11,20370.0,KAQ,7197586.0,11793106,2016
475,11,21629.0,KD,2186205.0,2186205,2016
476,11,21634.0,KH,432701.0,634092,2016
477,11,20372.0,KLQ,157639.0,342054,2016
478,11,20169.0,L2,165644.0,334254,2016
479,11,20151.0,M6,1974710.0,3222176,2016
480,11,20405.0,N8,1834117.0,3200791,2016
481,11,20108.0,NC,444693.0,724570,2016
482,11,20416.0,NK,25214102.0,39655872,2016
483,11,20304.0,OO,5341566.0,9643922,2016
484,11,20177.0,PFQ,333279.0,638003,2016
485,11,20100.0,PO,16885472.0,25786562,2016
486,11,20422.0,SY,4320059.0,7579354,2016
487,11,20447.0,U7,415634.0,654313,2016
488,11,19977.0,UA,252339393.0,369816083,2016
489,11,21171.0,VX,16587348.0,23530692,2016
490,11,20308.0,WE,357767.0,582292,2016
